Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Bugasura Issues),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Parent,Parent summary,Status Category
"flipkart ""UI issue""",RJ-8,10069,Bug,Done,RJ,AdityaRJ,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,Done,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,28/Nov/22 12:22 PM,23/Feb/23 11:37 AM,23/Feb/23 11:41 AM,23/Feb/23 11:37 AM,,0,,,“continue shopping button” disappears sometimes,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009q:,,RJ Sprint 2,,,,,,,,,,,,28/Nov/22 12:22 PM;634e3affa04e906250c53f39;[Bugasura Issue Link|https://my.bugasura.io/testReports/e50844710ab3ef71a939cafe5aa4cfa1/95419?testResultsId=428200],,,Done
product page redirect issue,RJ-7,10068,Bug,Done,RJ,AdityaRJ,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,Done,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,28/Nov/22 12:15 PM,23/Feb/23 11:37 AM,23/Feb/23 11:41 AM,23/Feb/23 11:37 AM,,0,Bug,,clicking on the images in homepage does not redirect to the product page like it is supposed to.,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,28/Nov/22 12:15 PM;634e3affa04e906250c53f39;Screenshot_2022-11-24_144454.png;https://aditya-vvkv-91.atlassian.net/secure/attachment/10003/Screenshot_2022-11-24_144454.png,,,,,,,,,,,,,,,,,,0|i0009s:,,RJ Sprint 2,,,,,,,,,,,,28/Nov/22 12:15 PM;634e3affa04e906250c53f39;[Bugasura Issue Link|https://my.bugasura.io/testReports/e50844710ab3ef71a939cafe5aa4cfa1/95419?testResultsId=426470],,,Done
signup and login issue,RJ-6,10067,Bug,Done,RJ,AdityaRJ,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,Done,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,28/Nov/22 12:15 PM,23/Feb/23 11:37 AM,28/Nov/22 12:20 PM,23/Feb/23 11:37 AM,,0,Bug,Functional,"when trying to signup, the site shows a message saying “this user already exists”
and when trying to use it is wrong password",,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,28/Nov/22 12:15 PM;634e3affa04e906250c53f39;0_Screenshot_2022-11-24_143609.png;https://aditya-vvkv-91.atlassian.net/secure/attachment/10001/0_Screenshot_2022-11-24_143609.png,28/Nov/22 12:15 PM;634e3affa04e906250c53f39;1_Screenshot_2022-11-24_143634.png;https://aditya-vvkv-91.atlassian.net/secure/attachment/10002/1_Screenshot_2022-11-24_143634.png,,,,,,,,,,,,,,,,,0|i000a0:,,RJ Sprint 2,,,,,,,,,,,,28/Nov/22 12:15 PM;634e3affa04e906250c53f39;[Bugasura Issue Link|https://my.bugasura.io/testReports/e50844710ab3ef71a939cafe5aa4cfa1/95419?testResultsId=426455],,,Done
new,AD-29,10066,Story,To Do,AD,Aditya VVKV,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,Done,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,17/Nov/22 2:44 PM,17/Nov/22 2:44 PM,23/Feb/23 11:41 AM,17/Nov/22 2:44 PM,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000as:,,,,,,,,,,,,,,,,,Done
Login button issue,BG-3,10065,Bug,To Do,BG,Bugathon,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Highest,,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,16/Nov/22 10:27 AM,16/Nov/22 10:37 AM,23/Feb/23 11:41 AM,,,0,,,The login button in the login page is malfunctioning. We are unable to login and test further as we cannot get into the homepage.,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,16/Nov/22 10:34 AM;634e3affa04e906250c53f39;Screenshot (105).png;https://aditya-vvkv-91.atlassian.net/secure/attachment/10000/Screenshot+%28105%29.png,,,,,,,,,,,,,,,,,,0|i000ak:,,,,,,,,,,,,,,,,,To Do
orangehrm,RJ-5,10062,Epic,To Do,RJ,AdityaRJ,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,02/Nov/22 1:02 PM,02/Nov/22 1:02 PM,23/Feb/23 11:41 AM,,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000ac:,,,,,,,,,,,,,,,,,To Do
logout,RJ-4,10061,Test,Done,RJ,AdityaRJ,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,Done,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,02/Nov/22 1:01 PM,23/Feb/23 11:37 AM,23/Feb/23 11:41 AM,23/Feb/23 11:37 AM,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009y:,,RJ Sprint 2,,,,,,,,,,,,,10062,orangehrm,Done
homepage,RJ-3,10060,Test,Done,RJ,AdityaRJ,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,Done,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,02/Nov/22 1:01 PM,23/Feb/23 11:37 AM,23/Feb/23 11:41 AM,23/Feb/23 11:37 AM,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009w:,,RJ Sprint 2,,,,,,,,,,,,,10062,orangehrm,Done
delete function,RJ-2,10059,Test,Done,RJ,AdityaRJ,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,Done,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,02/Nov/22 1:01 PM,23/Feb/23 11:37 AM,23/Feb/23 11:41 AM,23/Feb/23 11:37 AM,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009o:,,RJ Sprint 2,,,,,,,,,,,,,10062,orangehrm,Done
Login issue,AV-30,10058,Story,To Do,AV,Aditya Vadlamani,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,02/Nov/22 1:01 PM,02/Nov/22 1:01 PM,23/Feb/23 11:41 AM,,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009g:,,,,,,,,,,,,,,,,,To Do
Login Issue,RJ-1,10057,Test,Done,RJ,AdityaRJ,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,Done,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,02/Nov/22 10:54 AM,02/Nov/22 1:04 PM,23/Feb/23 11:41 AM,02/Nov/22 1:04 PM,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00098:,,RJ Sprint 1,,,,,,,,,,,,,10062,orangehrm,Done
login,AD-28,10056,Epic,To Do,AD,Aditya VVKV,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,Done,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 3:27 PM,18/Oct/22 3:27 PM,23/Feb/23 11:41 AM,18/Oct/22 3:27 PM,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00090:,,,,,,,,,,,,,,,,,Done
login,AD-25,10053,Epic,To Do,AD,Aditya VVKV,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,Done,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 3:26 PM,18/Oct/22 3:26 PM,23/Feb/23 11:41 AM,18/Oct/22 3:26 PM,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008k:,,,,,,,,,,,,,,,,,Done
order,AD-24,10052,Epic,To Do,AD,Aditya VVKV,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 2:39 PM,18/Oct/22 2:39 PM,23/Feb/23 11:41 AM,,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008c:,,,,,,,,,,,,,,,,,Done
payment,AD-23,10051,Epic,ready to release,AD,Aditya VVKV,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 1:02 PM,18/Oct/22 3:35 PM,23/Feb/23 11:41 AM,,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00084:,,,,,,,,,,,,,,,,,In Progress
product,AD-22,10050,Epic,ready to release,AD,Aditya VVKV,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 1:02 PM,18/Oct/22 3:35 PM,23/Feb/23 11:41 AM,,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007w:,,,,,,,,,,,,,,,,,In Progress
homepage,AD-21,10049,Epic,ready to release,AD,Aditya VVKV,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 1:01 PM,18/Oct/22 3:35 PM,23/Feb/23 11:41 AM,,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007o:,,,,,,,,,,,,,,,,,In Progress
Compare and Share,AD-20,10048,Story,ready to release,AD,Aditya VVKV,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 1:01 PM,18/Oct/22 2:44 PM,23/Feb/23 11:41 AM,,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004v:9,,AD Sprint 5,,,,,,,,,,,,,10050,product,In Progress
Login,AD-19,10047,Story,ready to release,AD,Aditya VVKV,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 1:01 PM,18/Oct/22 2:42 PM,23/Feb/23 11:41 AM,,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004t:,,AD Sprint 3,AD Sprint 4,,,,,,,,,,,,10049,homepage,In Progress
More,AD-17,10046,Story,ready to release,AD,Aditya VVKV,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 1:01 PM,18/Oct/22 2:44 PM,23/Feb/23 11:41 AM,,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00052:,,AD Sprint 5,,,,,,,,,,,,,10049,homepage,In Progress
My Cart,AD-18,10045,Story,ready to release,AD,Aditya VVKV,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 1:01 PM,18/Oct/22 2:44 PM,23/Feb/23 11:41 AM,,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004z:,,AD Sprint 5,,,,,,,,,,,,,10051,payment,In Progress
Payment,AD-16,10044,Story,ready to release,AD,Aditya VVKV,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 1:01 PM,18/Oct/22 2:44 PM,23/Feb/23 11:41 AM,,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004x:,,AD Sprint 5,,,,,,,,,,,,,10051,payment,In Progress
"Emi,UPI and COD",AD-15,10043,Story,ready to release,AD,Aditya VVKV,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 1:01 PM,18/Oct/22 2:44 PM,23/Feb/23 11:41 AM,,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004v:i,,AD Sprint 5,,,,,,,,,,,,,10051,payment,In Progress
Cart,AD-14,10042,Story,ready to release,AD,Aditya VVKV,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 1:01 PM,18/Oct/22 2:44 PM,23/Feb/23 11:41 AM,,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005c:,,AD Sprint 5,,,,,,,,,,,,,10051,payment,In Progress
Netbanking,AD-13,10041,Story,ready to release,AD,Aditya VVKV,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 1:01 PM,18/Oct/22 2:42 PM,23/Feb/23 11:41 AM,,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004s:i,,AD Sprint 3,AD Sprint 4,,,,,,,,,,,,10051,payment,In Progress
Grocery,AD-12,10040,Story,ready to release,AD,Aditya VVKV,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 1:01 PM,18/Oct/22 2:43 PM,23/Feb/23 11:41 AM,,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00058:,,AD Sprint 5,,,,,,,,,,,,,10049,homepage,In Progress
Order->Search Order,AD-9,10039,Story,ready to release,AD,Aditya VVKV,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 1:01 PM,18/Oct/22 2:44 PM,23/Feb/23 11:41 AM,,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004v:,,AD Sprint 5,,,,,,,,,,,,,10052,order,In Progress
Buy Now,AD-11,10038,Story,ready to release,AD,Aditya VVKV,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 1:01 PM,18/Oct/22 2:44 PM,23/Feb/23 11:41 AM,,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00055:,,AD Sprint 5,,,,,,,,,,,,,10050,product,In Progress
Product,AD-10,10037,Story,ready to release,AD,Aditya VVKV,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 1:01 PM,18/Oct/22 2:42 PM,23/Feb/23 11:41 AM,,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004s:,,AD Sprint 3,AD Sprint 4,,,,,,,,,,,,10050,product,In Progress
Add to Cart,AD-8,10036,Story,ready to release,AD,Aditya VVKV,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 1:01 PM,18/Oct/22 2:44 PM,23/Feb/23 11:41 AM,,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004v:4,,AD Sprint 5,,,,,,,,,,,,,10050,product,In Progress
